date,trading_code,last_traded_price,high,low,opening_price,closing_price,yesterdays_closing_price,trade,value_mn,volume
,,,,,,,,,,
12/30/2010 0:00,1JANATAMF,12.9,13.9,12.3,12.3,13,12,4708,124.868,9623500
,,,,,,,,,,
12/29/2010 0:00,1JANATAMF,11.8,12.3,11.2,11.7,12,11.3,1680,46.8126,3987000
,,,,,,,,,,
12/28/2010 0:00,1JANATAMF,11.3,11.7,11,11,11.3,11.2,1077,19.3689,1698500
,,,,,,,,,,
12/27/2010 0:00,1JANATAMF,11.3,11.5,11,11.5,11.2,11.4,932,13.9884,1249000
,,,,,,,,,,
12/26/2010 0:00,1JANATAMF,11.6,11.8,11.2,11.6,11.4,11.5,1671,31.8171,2746500
,,,,,,,,,,
12/23/2010 0:00,1JANATAMF,11.7,12,11.4,11.9,11.5,11.7,2044,33.2613,2852500
,,,,,,,,,,
12/22/2010 0:00,1JANATAMF,11.7,11.9,11.1,11.5,11.7,10.9,1838,33.3676,2901500
,,,,,,,,,,
12/21/2010 0:00,1JANATAMF,10.9,11.1,10.6,11,10.9,10.9,1059,15.96,1472500
,,,,,,,,,,
12/20/2010 0:00,1JANATAMF,10.8,11.5,10.6,11.5,10.9,10.8,869,19.4442,1796500
,,,,,,,,,,
12/19/2010 0:00,1JANATAMF,11,12.3,10.7,12.1,10.8,11.9,1339,22.9258,2030500
,,,,,,,,,,
12/15/2010 0:00,1JANATAMF,12.1,12.6,11.7,12.3,11.9,12,4269,86.0588,7047500
,,,,,,,,,,
12/14/2010 0:00,1JANATAMF,12,12.3,11,11,12,11.4,3488,55.2681,4691500
,,,,,,,,,,
12/13/2010 0:00,1JANATAMF,11.6,12,10.9,11.5,11.4,12,2253,24.8528,2181500
,,,,,,,,,,
12/12/2010 0:00,1JANATAMF,12.3,12.8,11.3,11.8,12,11.7,5860,82.1112,6816500
,,,,,,,,,,
12/9/2010 0:00,1JANATAMF,11.6,12,10.1,10.1,11.7,10,2963,62.6012,5651500
,,,,,,,,,,
12/8/2010 0:00,1JANATAMF,10.1,10.4,9.9,10.4,10,10.1,812,13.3063,1315000
,,,,,,,,,,
12/7/2010 0:00,1JANATAMF,10.3,10.5,9.9,10.5,10.1,10.1,949,13.6214,1340500
,,,,,,,,,,
12/6/2010 0:00,1JANATAMF,10.3,10.5,9.9,9.9,10.1,10,1136,14.3066,1404500
,,,,,,,,,,
12/5/2010 0:00,1JANATAMF,10,10.2,9.9,9.9,10,9.9,717,12.8521,1284500
,,,,,,,,,,
12/2/2010 0:00,1JANATAMF,10.1,10.2,9.9,10.1,9.9,10.1,678,8.0903,808500
,,,,,,,,,,
12/1/2010 0:00,1JANATAMF,10.1,10.3,10,10.1,10.1,10.1,575,7.8344,772000
,,,,,,,,,,
11/30/2010 0:00,1JANATAMF,10.1,10.5,10.1,10.2,10.1,10.4,702,6.9818,682500
,,,,,,,,,,
11/29/2010 0:00,1JANATAMF,10.5,10.9,10.4,10.4,10.4,10.7,1296,14.6947,1382500
,,,,,,,,,,
11/28/2010 0:00,1JANATAMF,10.7,11.1,10.5,10.6,10.7,10.3,1887,23.1802,2163000
,,,,,,,,,,
11/25/2010 0:00,1JANATAMF,10.4,10.5,9.9,10,10.3,10,1225,14.5652,1424000
,,,,,,,,,,
11/24/2010 0:00,1JANATAMF,9.9,10.1,9.9,9.9,10,9.9,690,6.5421,654500
,,,,,,,,,,
11/23/2010 0:00,1JANATAMF,10,10.1,9.9,10,9.9,10,720,7.9447,795000
,,,,,,,,,,
11/22/2010 0:00,1JANATAMF,10.1,10.2,9.9,10,10,10.1,802,10.3279,1030500
,,,,,,,,,,
11/21/2010 0:00,1JANATAMF,10.2,10.2,9.9,10,10.1,10.1,553,6.69,661500
,,,,,,,,,,
